cip2020_title,score,band,employment_weighted_openings,employment_weighted_growth_pct,completions_latest_year,pct_completions_latest_year,pct_employment_weighted_openings,pct_completions_trend_pct,pct_employment_weighted_growth_pct,pct_bls_top30_flag,in_bls_top30_flag,is_finalist,proposed_name
Vocational Rehabilitation Counseling/Counselor,70.7,Test,23.21,13.47,700.0,84.1,60.1,27.7,88.6,100.0,t,f,
Cultural Resource Management and Policy Analysis,70.7,Test,104.85,4.47,47.0,44.6,93.3,65.2,63.6,100.0,t,f,
Orthodontics/Orthodontology,70.7,Test,26.86,17.04,120.0,60.5,62.9,61.7,96.2,100.0,t,f,
Network and System Administration/Administrator,70.3,Test,37.88,11.81,47.0,44.6,67.8,91.8,85.5,100.0,t,f,
"Veterinary Sciences/Veterinary Clinical Sciences, General",70.3,Test,21.79,15.53,175.0,67.2,58.2,58.5,93.0,100.0,t,f,
Cyber/Electronic Operations and Warfare,70.0,Test,,,424.0,79.0,,98.6,,0.0,f,f,
Medical Anthropology,70.0,Test,105.50,4.49,21.0,33.6,93.4,81.4,64.3,100.0,t,f,
Military History,69.9,Test,104.54,4.41,121.0,60.9,92.8,31.3,60.4,100.0,t,f,
Health/Medical Psychology,69.8,Test,97.51,4.84,67.0,50.4,88.1,53.1,68.3,100.0,t,f,
Radiologic Technology/Science - Radiographer,69.8,Test,21.01,11.57,145.0,63.2,56.5,74.4,85.0,100.0,t,f,
Pharmaceutical Marketing and Management,69.7,Test,50.27,12.11,28.0,37.3,70.4,96.3,86.3,100.0,t,f,
Data Processing and Data Processing Technology/Technician,69.6,Test,31.30,8.20,331.0,75.3,66.3,100.0,80.8,0.0,f,f,
Religious Institution Administration and Management,69.5,Test,97.71,4.37,39.0,42.4,88.7,74.0,60.3,100.0,t,f,
Social Psychology,69.5,Test,99.02,4.46,55.0,47.8,89.6,59.7,62.2,100.0,t,f,
Telecommunications Management,69.4,Test,85.67,7.95,16.0,30.1,83.4,89.8,78.9,100.0,t,f,
"Advanced/Graduate Dentistry and Oral Sciences, Other",69.4,Test,26.79,16.92,85.0,54.1,62.3,67.7,95.6,100.0,t,f,
Pharmacology,69.4,Test,18.61,12.22,211.0,69.4,51.6,67.7,86.6,100.0,t,f,
