cip2020_code,cip2020_title,already_offered_by_vanderbilt,pct_completions_latest_year,pct_completions_trend_pct,pct_employment_weighted_openings,pct_employment_weighted_growth_pct,pct_bls_top30_flag,n_metrics_used,score,band
1.8101,"Veterinary Sciences/Veterinary Clinical Sciences, General",f,67.2,58.5,58.2,93.0,100.0,5,70.3,Test
11.1001,Network and System Administration/Administrator,f,44.6,91.8,67.8,85.5,100.0,5,70.3,Test
29.0207,Cyber/Electronic Operations and Warfare,f,79.0,98.6,,,0.0,3,70.0,Test
45.0203,Medical Anthropology,f,33.6,81.4,93.4,64.3,100.0,5,70.0,Test
54.0108,Military History,f,60.9,31.3,92.8,60.4,100.0,5,69.9,Test
42.2810,Health/Medical Psychology,f,50.4,53.1,88.1,68.3,100.0,5,69.8,Test
51.0911,Radiologic Technology/Science - Radiographer,f,63.2,74.4,56.5,85.0,100.0,5,69.8,Test
51.2011,Pharmaceutical Marketing and Management,f,37.3,96.3,70.4,86.3,100.0,5,69.7,Test
11.0301,Data Processing and Data Processing Technology/Technician,f,75.3,100.0,66.3,80.8,0.0,5,69.6,Test
39.0801,Religious Institution Administration and Management,f,42.4,74.0,88.7,60.3,100.0,5,69.5,Test
42.2707,Social Psychology,f,47.8,59.7,89.6,62.2,100.0,5,69.5,Test
26.1001,Pharmacology,f,69.4,67.7,51.6,86.6,100.0,5,69.4,Test
51.0599,"Advanced/Graduate Dentistry and Oral Sciences, Other",f,54.1,67.7,62.3,95.6,100.0,5,69.4,Test
52.2101,Telecommunications Management,f,30.1,89.8,83.4,78.9,100.0,5,69.4,Test
27.0502,Mathematical Statistics and Probability,f,66.9,59.9,50.8,100.0,100.0,5,69.3,Test
30.0000,"Multi-/Interdisciplinary Studies, General",f,78.6,96.1,,,0.0,3,69.1,Test
45.0604,Development Economics and International Development,f,65.7,17.2,91.6,62.2,100.0,5,69.1,Test
52.0899,"Finance and Financial Management Services, Other",f,59.0,23.8,80.2,92.0,100.0,5,69.1,Test
45.0301,Archeology,f,46.3,49.7,93.4,64.3,100.0,5,69.0,Test
15.1001,Construction Engineering Technology/Technician,f,84.4,87.6,67.6,68.0,0.0,5,68.9,Test
50.1004,Theatre/Theatre Arts Management,f,51.1,60.3,85.4,59.5,100.0,5,68.9,Test
44.0701,Social Work,f,99.9,63.7,62.1,71.1,0.0,5,68.8,Test
45.0299,"Anthropology, Other",f,43.4,52.9,93.4,64.3,100.0,5,68.6,Test
54.0105,Public/Applied History,f,59.0,25.4,92.2,61.6,100.0,5,68.4,Test
22.0201,"Advanced Legal Research/Studies, General",f,95.5,80.2,64.7,55.0,0.0,5,68.3,Test
51.3807,Nurse Midwife/Nursing Midwifery,f,80.3,75.2,29.3,94.1,100.0,5,68.3,Test
26.0403,Anatomy,f,66.3,65.3,51.6,86.6,100.0,5,68.2,Test
45.0602,Applied Economics,f,61.3,19.3,87.4,71.6,100.0,5,68.2,Test
51.0901,Cardiovascular Technology/Technologist,f,39.1,98.2,59.8,91.8,100.0,5,68.2,Test
51.1503,Clinical/Medical Social Work,f,93.4,89.0,48.7,80.9,0.0,5,68.1,Test
52.1904,Apparel and Accessories Marketing Operations,f,38.4,84.9,92.1,41.3,100.0,5,68.1,Test
14.3701,Operations Research,f,88.3,64.2,29.7,86.2,100.0,5,68.0,Test
42.2811,Family Psychology,f,44.4,52.2,88.1,68.3,100.0,5,67.8,Test
51.3816,Emergency Room/Trauma Nursing,f,35.7,39.5,97.3,79.4,100.0,5,67.7,Test
13.1299,"Teacher Education and Professional Development, Specific Levels and Methods, Other",f,96.8,54.1,,,0.0,3,67.6,Test
51.0602,Dental Hygiene/Hygienist,f,58.3,61.5,59.2,87.8,100.0,5,67.6,Test
45.0501,Demography and Population Studies,f,53.0,35.3,91.8,58.3,100.0,5,67.5,Test
51.2206,Occupational Health and Industrial Hygiene,f,60.5,52.1,58.9,92.4,100.0,5,67.5,Test
30.1701,Behavioral Sciences,f,92.2,97.4,47.5,72.4,0.0,5,67.4,Test
51.0718,Long Term Care Administration/Management,f,30.9,66.5,77.4,99.5,100.0,5,67.4,Test
15.1501,Engineering/Industrial Management,f,97.3,70.8,54.1,75.0,0.0,5,67.3,Test
52.1006,Executive/Career Coaching,f,37.7,76.2,77.1,76.3,100.0,5,67.3,Test
51.1401,Medical Science/Scientist,f,83.8,69.3,33.3,78.0,100.0,5,67.2,Test
52.0901,"Hospitality Administration/Management, General",f,85.4,68.3,67.1,74.5,0.0,5,67.2,Test
11.0899,"Computer Software and Media Applications, Other",f,77.4,91.3,,,0.0,3,67.1,Test
45.1004,Political Economy,f,21.5,92.9,91.3,62.2,100.0,5,67.1,Test
43.0304,Terrorism and Counterterrorism Operations,f,44.4,65.6,84.5,56.4,100.0,5,67.0,Test
45.0101,"Social Sciences, General",f,78.5,28.4,83.9,26.9,100.0,5,67.0,Test
51.0999,"Allied Health Diagnostic, Intervention, and Treatment Professions, Other",f,45.3,83.1,59.0,87.5,100.0,5,66.9,Test
9.0900,"Public Relations, Advertising, and Applied Communication",f,85.6,98.9,54.1,66.8,0.0,5,66.8,Test
15.1204,Computer Software Technology/Technician,f,24.2,61.2,89.2,89.2,100.0,5,66.6,Test
52.1801,"Sales, Distribution, and Marketing Operations, General",f,80.9,76.0,94.1,18.2,0.0,5,66.6,Test
51.2006,Clinical and Industrial Drug Development,f,66.1,51.2,55.0,82.9,100.0,5,66.4,Test
22.0202,Programs for Foreign Lawyers,f,91.1,70.6,66.4,56.6,0.0,5,66.3,Test
30.7103,Data Visualization,f,30.9,66.5,80.3,86.0,100.0,5,66.2,Test
31.0501,"Sports, Kinesiology, and Physical Education/Fitness, General",f,87.2,35.2,74.5,82.9,0.0,5,66.2,Test
9.0901,"Organizational Communication, General",f,75.5,73.8,66.9,82.2,0.0,5,66.1,Test
52.1207,Knowledge Management,f,48.5,43.6,70.9,91.5,100.0,5,66.1,Test
51.0711,Medical/Health Management and Clinical Assistant/Specialist,f,26.9,71.2,95.5,57.0,100.0,5,66.0,Test
51.2302,Dance Therapy/Therapist,f,43.9,70.1,60.2,94.2,100.0,5,65.9,Test
26.1311,Epidemiology and Biostatistics,f,55.4,,54.5,85.9,100.0,4,65.7,Test
51.0907,Medical Radiologic Technology/Science - Radiation Therapist,f,56.0,70.2,52.9,83.6,100.0,5,65.7,Test
30.4801,Linguistics and Computer Science,f,20.2,51.5,90.7,97.3,100.0,5,65.6,Test
30.1101,Gerontology,f,72.2,30.3,53.4,87.9,100.0,5,65.4,Test
11.0199,"Computer and Information Sciences,  Other",f,83.7,92.9,11.0,86.4,100.0,5,65.3,Test
51.2002,Pharmacy Administration and Pharmacy Policy and Regulatory Affairs,f,58.5,11.0,70.7,98.6,100.0,5,65.2,Test
51.3815,Occupational and Environmental Health Nursing,f,21.5,50.6,97.3,79.4,100.0,5,65.1,Test
52.0215,Risk Management,f,14.1,,99.8,74.2,100.0,4,65.1,Test
13.1327,Health Occupations Teacher Education,f,52.2,79.9,66.8,48.9,100.0,5,65.0,Test
49.0101,"Aeronautics/Aviation/Aerospace Science and Technology, General",f,84.2,88.9,51.2,73.9,0.0,5,65.0,Test
51.2399,"Rehabilitation and Therapeutic Professions, Other",f,65.9,20.3,60.2,94.2,100.0,5,65.0,Test
22.0203,American/U.S. Law/Legal Studies/Jurisprudence,f,84.0,80.5,64.7,55.0,0.0,5,64.9,Test
4.0902,Architectural and Building Sciences/Technology,f,96.4,99.1,44.5,51.2,0.0,5,64.8,Test
26.1199,"Biomathematics, Bioinformatics, and Computational Biology, Other",f,44.6,78.0,49.5,99.2,100.0,5,64.8,Test
14.3501,Industrial Engineering,f,94.2,58.8,54.1,75.0,0.0,5,64.6,Test
45.1099,"Political Science and Government, Other",f,59.9,46.2,84.8,28.5,100.0,5,64.6,Test
