cip2020_code,cip2020_title,latest_year,completions_latest_year,trend_earliest_year,completions_trend_pct,matched_soc_codes,n_socs_used,employment_weighted_openings,employment_weighted_growth_pct,in_bls_top30_flag,already_offered_by_vanderbilt
14.3901,Geological/Geophysical Engineering,2024,125.0,2012,2.5,"11-9041, 17-2199, 25-1032",3,11.30,3.67,f,f
14.4001,Paper Science and Engineering,2024,3.0,2012,200.0,"11-9041, 17-2199, 25-1032",3,11.30,3.67,f,f
14.4201,"Mechatronics, Robotics, and Automation Engineering",2024,1016.0,2012,3403.4,"11-9041, 17-2199, 25-1032",3,11.30,3.67,f,f
14.4301,Biochemical Engineering,2024,32.0,2012,1500.0,"11-9041, 17-2199, 25-1032",3,11.30,3.67,f,f
14.4401,Engineering Chemistry,2024,23.0,2022,-23.3,"11-9041, 17-2199, 25-1032",3,11.30,3.67,f,f
14.4501,Biological/Biosystems Engineering,2024,87.0,2012,625.0,"11-9041, 17-2199, 25-1032",3,11.30,3.67,f,f
14.4701,Electrical and Computer Engineering,2024,1053.0,2020,963.6,"11-9041, 17-2071, 17-2199",3,12.08,4.48,f,f
14.4801,"Energy Systems Engineering, General",2024,74.0,2020,252.4,"11-9041, 17-2199, 25-1032",3,11.30,3.67,f,f
14.4899,"Energy Systems Engineering, Other",2024,2.0,2022,-60.0,"11-9041, 17-2199, 25-1032",3,11.30,3.67,f,f
14.9999,"Engineering, Other",2024,1922.0,2012,86.4,"11-9041, 17-2199, 25-1032",3,11.30,3.67,f,f
15.0000,"Engineering Technologies/Technicians, General",2024,221.0,2012,-33.0,"17-3023, 17-3022, 17-3024",3,6.70,1.20,f,f
15.0101,Architectural Engineering Technologies/Technicians,2024,64.0,2012,,"17-3011, 17-3029, 17-3022",3,7.60,2.84,f,f
15.0201,Civil Engineering Technologies/Technicians,2024,5.0,2021,0.0,"17-3022, 53-6041",2,4.99,2.27,f,f
15.0303,"Electrical, Electronic, and Communications Engineering Technology/Technician",2024,6.0,2012,-76.9,"17-3023, 49-2095, 17-3012",3,6.28,0.46,f,f
15.0305,Telecommunications Technology/Technician,2024,11.0,2012,-87.6,17-3023,1,8.40,0.60,f,f
15.0306,Integrated Circuit Design Technology/Technician,2013,0.0,2012,,"17-3023, 17-3012",2,7.14,-0.56,f,f
15.0307,Audio Engineering Technology/Technician,2024,9.0,2023,,"17-3029, 27-4014, 27-2091",3,4.29,1.31,f,f
15.0399,"Electrical/Electronic Engineering Technologies/Technicians, Other",2024,2.0,2012,100.0,17-3023,1,8.40,0.60,f,f
15.0401,Biomedical Technology/Technician,2024,4.0,2012,300.0,"49-9062, 17-3029, 17-3028",3,5.97,6.96,f,f
15.0403,Electromechanical/Electromechanical Engineering Technology/Technician,2024,8.0,2012,700.0,"17-3012, 17-3024",2,1.54,-2.85,f,f
15.0405,Robotics Technology/Technician,2024,41.0,2016,192.9,17-3024,1,1.30,1.10,f,f
15.0406,Automation Engineer Technology/Technician,2024,5.0,2022,150.0,"17-3023, 17-3024",2,7.42,0.67,f,f
15.0501,"Heating, Ventilation, Air Conditioning and Refrigeration Engineering Technology/Technician",2013,0.0,2012,,"49-9021, 17-3029",2,35.40,7.20,f,f
15.0507,Environmental/Environmental Engineering Technology/Technician,2024,51.0,2012,-27.1,"19-4042, 17-3025",2,4.51,3.32,f,f
15.0599,"Environmental Control Technologies/Technicians, Other",2024,1.0,2012,-98.3,17-3029,1,5.70,1.50,f,f
15.0607,Plastics and Polymer Engineering Technology/Technician,2024,5.0,2012,-16.7,17-3029,1,5.70,1.50,f,f
15.0612,Industrial Technology/Technician,2024,625.0,2012,59.0,17-3026,1,6.30,1.70,f,f
15.0613,Manufacturing Engineering Technology/Technician,2024,89.0,2012,15.6,17-3026,1,6.30,1.70,f,f
15.0699,"Industrial Production Technologies/Technicians, Other",2024,13.0,2012,-31.6,17-3026,1,6.30,1.70,f,f
15.0701,Occupational Safety and Health Technology/Technician,2024,737.0,2012,82.0,19-5011,1,14.90,12.50,f,f
15.0702,Quality Control Technology/Technician,2024,52.0,2012,-21.2,51-9061,1,69.90,0.00,f,f
15.0703,Industrial Safety Technology/Technician,2024,7.0,2012,-72.0,"19-5011, 17-3026",2,11.79,8.60,f,f
15.0799,"Quality Control and Safety Technologies/Technicians, Other",2024,0.0,2012,-100.0,,0,,,f,f
15.0801,Aeronautical/Aerospace Engineering Technology/Technician,2024,74.0,2014,60.9,"17-3013, 17-3021",2,2.87,-3.90,f,f
15.0803,Automotive Engineering Technology/Technician,2024,12.0,2012,-25.0,"49-3023, 17-3013, 17-3027",3,63.89,3.50,f,f
15.0805,Mechanical/Mechanical Engineering Technology/Technician,2024,20.0,2012,185.7,"17-3013, 17-3027, 17-3024",3,2.95,-2.73,f,f
15.0899,"Mechanical Engineering Related Technologies/Technicians, Other",2024,12.0,2023,9.1,17-3027,1,3.20,0.00,f,f
